&	and (conj. & adv.)
salde	sellen (v.)
salden	sellen (v.)
Salemon	Solomon (n.)
Salemone	Solomon (n.)
Salemonnes	Solomon (n.)
Salesburi	Salisburi (n.)
salmes	Psalm(e (n.)
Salome	Solomon (n.)
Salomon	Solomon (n.)
salteriun	salt-cot(e (n.)
saltne	salt (adj.)
Samiel	Samuel (n.)
Samson	Samson (n.)
Samuel	Samuel (n.)
sande	sond(e (n.)
sar	sor(e (adj.2)
sare	sor(e (adj.2)
sare	sor(e (n.1)
sare	sore (adv.)
sari	sori (adj.)
sari-mod	sori-mod (adj.)
sarinesse	sorines(se (n.)
sarlic	sorli (adj.)
sarne	sor(e (adj.2)
sarure	sor(e (adj.2)
sarure	sori (adj.)
sat	sitten (v.)
Saturnus	Saturne (n.)
Saul	Saul (n.)
saule	soul(e (n.)
saulen	self (adj., n., & pron.)
saulen	soul(e (n.)
sawen	sau(e (n.2)
sax	sax (n.)
Saxe-londe	Saxe-lond (n.)
saxen	sax (n.)
Saxes	Sax(e (n.)
Saxisc	Saxish (adj.)
Saxisce	Saxish (adj.)
Saxlonde	Saxe-lond (n.)
Sax-londe	Saxe-lond (n.)
scağe	scath(e (n.)
scağe-werc	scathe-werk (n.)
Scadiald	Scadiald (n.)
Scadud	Scadud (n.)
scæğe	scath(e (n.)
scæf	shove
scæft	shaft(e (n.2)
scæftes	shaft(e (n.2)
scæken	shaken (v.)
scæl	shulen (v.1)
scælkes	shalk(e (n.)
scælt	shulen (v.1)
scæn	shene (adj.)
scæn	shinen (v.)
scænden	shenen (v.1)
scærninge	scorning(e (ger.)
scærpe	sharp (adj.)
scærpen	sharp (adj.)
scæt	sheten (v.)
scæwede	sheuen (v.1)
scaf	shouven (v.)
scaf	shove
scaft	shaft(e (n.2)
scaftes	shaft(e (n.2)
scal	shulen (v.1)
scalc	shalk(e (n.)
scale	shale (n.)
scalen	shale (n.)
scalk%kes	shalk(e (n.)
scalkas	shalk(e (n.)
scalken	shalk(e (n.)
scalkes	shalk(e (n.)
scall	shulen (v.1)
scalt	shulen (v.1)
scame	shame (n.)
scamen	shame (n.)
scamoiene	scamoni(e (n.)
scanden	shenen (v.1)
scanen	shenen (v.1)
scar	sheren (v.)
scare	scar (n.)
scarn	scorn (n.)
scarp	sharp (adj.)
scarpe	sharp (adj.)
scaşe	scath(e (n.)
scawede	sheuen (v.1)
sceaftes	shaft(e (n.2)
scean	shinen (v.)
scearpe	sharp (adj.)
sceat	sheten (v.)
scede	sheden (v.)
Sceint	seint(e (n.)
scel	shulen (v.1)
sceld	sheld (n.)
sceld	sheld (v.)
scelde	sheld (n.)
scelde	sheld (v.)
scelden	sheld (n.)
sceldes	sheld (n.)
sceld-trome	sheltroun (n.)
sceld-trume	sheltroun (n.)
scelt	shulen (v.1)
scen	shene (adj.)
scen	shinen (v.)
scenc	shenche (n.)
scenc%cheğ	shenchen (v.)
scenche	shenche (n.)
scenchen	shenche (n.)
scenchen	shenchen (v.)
scenches	shenche (n.)
scende	shenden (v.)
scendeğ	shenden (v.)
scenden	shenden (v.)
scenden	shenen (v.1)
scene	shene (adj.)
scenen	shenen (v.1)
sceollen	shulen (v.1)
sceome	shame (n.)
sceomeden	shamen (v.)
sceone	shene (adj.)
sceonien	shonen (v.)
sceort	short (adj.)
sceoteğ	sheten (v.)
sceoten	sheten (v.)
sceouen	shouven (v.)
sceoweden	sheuen (v.1)
scep	shep (n.)
scepen	shep (n.)
scere	sker(e (n.)
sceren	sheren (v.)
scerpe	sharp (adj.)
Scesar	cesar (n.)
scewede	sheuen (v.1)
Scezar	cesar (n.)
schæren	sheren (v.)
scheapen	shep (n.)
scheldede	sheld (v.)
schelden	sheld (v.)
schenches	shenche (n.)
schip	ship (n.)
schipe	ship (n.)
schipen	ship (n.)
schipes	ship (n.)
schip-færde	ship-ferde (n.)
scholde	shulen (v.1)
Scice	Scythia (n.)
scid	shid(e (n.)
scifren	shiver(e (n.)
scild	sheld (n.)
scild	sheld (v.)
scilde	sheld (n.)
scilden	sheld (n.)
scilden	sheld (v.)
scine	shinen (v.)
scineğ	shinen (v.)
scinen	shinen (v.)
scip	ship (n.)
scipa	ship (n.)
scipe	ship (n.)
scipen	ship (n.)
scipene	ship (n.)
scipenen	ship (n.)
scipen-monnen	ship-man (n.)
scipes	ship (n.)
scip-ferde	ship-ferde (n.)
scip-gumen	ship-gome
scipien	shipen (v.)
scipinge	shipinge (ger.)
scipmen	ship-man (n.)
scip-men	ship-man (n.)
scipmonnen	ship-man (n.)
scire	shiren (v.)
sciren	shire (n.)
Scise	Scythia (n.)
sciuren	shiver(e (n.)
sckere	sceren (v.)
sckere	sker(e (n.)
sclæht	slaught(e (n.)
scoc	shaken (v.)
scoiden	shon (v.)
scolde	sheld (n.)
scolden	sheld (n.)
scole	scole (n.2)
scome	shame (n.)
scomeğ	shamen (v.)
scomede	shamen (v.)
scome-liche	shameli (adv.)
scomien	shamen (v.)
sconde	shond (n.1)
sconde	shond (n.2)
scondliche	shondli (adj.)
scone	shene (adj.)
sconke	shank(e (n.)
sconken	shank(e (n.)
scop	scop (n.)
scop	shapen (v.)
scopes	scop (n.)
scorte	short (adj.)
Scot-dale	Scotdale (n.)
Scot-ferde	Scot-ferde (n.)
scotien	sheten (v.)
Scot-len	Scot-lond (n.)
Scotleode	Scot-lede (n.)
Scot-lon	Scot-lond (n.)
Scotlond	Scot-lond (n.)
Scot-lond	Scot-lond (n.)
Scotlonde	Scot-lond (n.)
Scot-londe	Scot-lond (n.)
Scotlonden	Scot-lond (n.)
Scot-londen	Scot-lond (n.)
Scotlondes	Scot-lond (n.)
Scot-londes	Scot-lond (n.)
Scotte	Scot (n.1)
Scotte-londe	Scot-lond (n.)
Scotten	Scot (n.1)
Scottenæ	Scot (n.1)
Scottene	Scot (n.1)
Scottes	Scot (n.1)
Scotte-wærd	Scotte-ward (n.)
Scot-şeode	Scot-thede (n.)
Scottisc	Scottish (adj.)
Scottlond	Scot-lond (n.)
Scottlonde	Scot-lond (n.)
Scottlondes	Scot-lond (n.)
scrağ	scrithen (v.)
scradieğ	shreden (v.)
scraf	shriven (v.)
Scriğeğ	scrithen (v.)
scriğen	scrithen (v.)
scrift	shrift (n.)
scrifte	shrift (n.)
scrinkin	shrinken (v.)
scrip%pen	ship (n.)
scrişen	scrithen (v.)
scriue	shriven (v.)
scriuen	shriven (v.)
scrud	shroud (n.)
scrude	shreden (v.)
scruden	shreden (v.)
Scucke	shucke (n.)
scufen	shouven (v.)
scuften	shiften (v.)
scuhten	scutte (n.)
scul%len	shulen (v.1)
sculde	sheld (n.)
sculden	sheld (n.)
sculderen	sheld (n.)
sculdes	sheld (n.)
sculdest	sheld (n.)
sculdre	sheld (n.)
sculeğ	shulen (v.1)
sculen	shulen (v.1)
sculle	shulen (v.1)
sculleğ	shulen (v.1)
scullen	shulen (v.1)
sculuen	shouven (v.)
scunede	shonen (v.)
scunien	shonen (v.)
scupte	shapen (v.)
scupten	shapen (v.)
scurmen	skirmen (v.)
scurte	shirt(e (n.)
scut%ten	sheten (v.)
scute	shute (n.)
scuten	sheten (v.)
scutten	scutte (n.)
scuuen	shouven (v.)
se	se (n.1)
se	so (adv.)
sea	se (n.1)
seağen	seth (n.)
seælleğ	sailen (v.1)
seæt	setten (v.)
seæt	sitten (v.)
seahte	saught(e (n.)
seaide	seien (v.1)
sea-streames	se-strem (n.)
seat	sitten (v.)
sec	sik (adj.)
sechen	sechen (v.)
sechien	sechen (v.)
sechinde	sechen (v.)
seğğen	sitthen (adv.)
se?e	sen (v.1)
se?en	sen (v.1)
seeldes	sheld (n.)
seg	segge (n.2)
segge	seien (v.1)
seggen	seien (v.1)
segges	segge (n.2)
se-grunde	se-ground (n.)
Seguine	Seguin (n.)
seh	sien (v.1)
sehte	saught(e (n.)
sehte	sight(e (n.)
sehtnesse	saughtnesse (n.)
seht-nesse	saughtnesse (n.)
sehtnie	saughtenen (v.)
Sei	seien (v.1)
seiğ	seien (v.1)
seide	seien (v.1)
seiden	seien (v.1)
Seie	seien (v.1)
seien	seien (v.1)
seil	seil(e (n.)
seil-clæğ	seil(e-cloth (n.)
seile	seil(e (n.)
seilede	seilen (v.)
seileden	seilen (v.)
seilen	seilen (v.)
seiles	seil(e (n.)
seilieğ	seilen (v.)
seilien	seilen (v.)
Seind	seint(e (n.)
Seint	seint(e (n.)
Seinte	seint(e (n.)
seist	seien (v.1)
sel	sel(e (adj.)
sel	sel(e (n.1)
sela	sel(e (adj.)
selast	sel(e (adj.)
selcuğ	selcouth (adj.)
selcuğe	selcouth (adj.)
sel-cuğe	selcouth (adj.)
sel-cuğe	selcouth(e (n.)
sel-cuğe	selcouthen (v.)
selcuğliche	selcouthli (adv.)
selcuğne	selcouth (adj.)
selde	selde (adv.)
selde	selde (n.1)
selden	selde (n.1)
seldes	sheld (n.)
sele	sel(e (adj.)
sele	sel(e (n.1)
Selechæstre	Silchester (n.)
sele?ehğe	selth(e (n.)
selehğe	selth(e (n.)
Selemon	Solomon (n.)
selen	sel(e (adj.)
selen	sel(e (n.1)
selere	sel(e (adj.)
selere	sel(e (n.1)
selest	sel(e (adj.)
seleste	sel(e (adj.)
selfne	self (adj., n., & pron.)
selkeğ	selcouth (adj.)
Selkuğ	selcouth (adj.)
selkuğe	selcouth (adj.)
sellic	selli (adj.)
sellich	selli (adj.)
selliche	selli (adj.)
sel-liche	seli (adj.)
sellichne	selli (adj.)
selre	sel(e (adj.)
selre	sel(e (n.1)
selşen	selth(e (n.)
seluen	self (adj., n., & pron.)
seluer	silver (n.)
seluere	silver (n.)
selve	self (adj., n., & pron.)
Sem	Sem (n.)
semde	semen (v.1)
semen	semen (v.2)
senaht	senat(e (n.)
senature	senatour (n.)
senaturs	senatour (n.)
send	senden (v.2)
sende	senden (v.2)
sende	shenden (v.)
sendeğ	senden (v.2)
senden	senden (v.2)
Senis	Senis (n.)
sent	senden (v.2)
sente	senden (v.2)
senuwen	sineu (n.)
seo	ben (v.)
seoc	sik (adj.)
seocke	sik (adj.)
seocken	sik (adj.)
seocken	sik (n.)
seocnesse	sikernes(se (n.)
seoc-nesse	siknes(se (n.)
seoğ	seien (v.1)
seoğ	soth (n.)
seoğ	south (adv.)
seoğğ	sitthe (conj.)
seoğğe	sitthe (conj.)
seoğğen	sitthen (adv.)
seoğğen	sitthen (conj.)
seoğğen	soth (n.)
seoğe	sitthe (adv.)
seoğen	sitthen (adv.)
seofue	seven (num.)
seoh	soth (n.)
seohğe	soth (adj.)
seoke	sik (adj.)
seol%lichen	seli (adj.)
seolcuğ	selcouth (adj.)
Seol-cuğ	selcouth (adj.)
Seol-cuğ	selcouth(e (n.)
Seol-cuğ	selcouthen (v.)
seolcuğe	selcouth (adj.)
seol-cuğe	selcouth (adj.)
seol-cuğe	selcouth(e (n.)
seol-cuğe	selcouthen (v.)
seolcuğne	selcouth (adj.)
seolden	shulen (v.1)
seolğen	selth(e (n.)
seole	sel(e (n.2)
seolf	self (adj., n., & pron.)
seolfan	self (adj., n., & pron.)
seolfne	self (adj., n., & pron.)
seolfuen	self (adj., n., & pron.)
seolke	silk(e (n.)
seolkuğ	selcouth (adj.)
seolkuğ	selcouth(e (n.)
seollen	sellen (v.)
seollic	selli (adj.)
seol-lic	seli (adj.)
seolliche	selli (adj.)
seolne	sel(e (adj.)
seoluan	self (adj., n., & pron.)
seolue	self (adj., n., & pron.)
seoluen	self (adj., n., & pron.)
seoluer	silver (n.)
seoluere	silver (n.)
seoluerne	silver (n.)
seolure	silver (n.)
seolven	self (adj., n., & pron.)
seomer	somer (n.1)
seon	sen (v.1)
seonde	senden (v.2)
seonde	sond(e (n.)
seondeğ	senden (v.2)
seonden	sond(e (n.)
seone	sone (adv.)
seonen	sone (n.)
seonnen	sonne (n.)
seore	sor(e (n.1)
seore	sore (adv.)
seor?e	sorwe (n.)
seore?e	sorwe (n.)
seor?en	sor(e (adj.2)
seor?en	sorwe (n.)
seorhful	sorweful (adj.)
seorhfulle	sorweful (adj.)
seorh-fulle	sorweful (adj.)
seorhfulne	sorweful (adj.)
seorwa	sorwe (n.)
seorwe	sorwe (n.)
seorwen	sorwe (n.)
Seoşen	sitthen (conj.)
seoue	seven (num.)
seoueğe	seventh(e (num.)
seouen	seven (num.)
seouene	seven (num.)
seoueniht	seven-night (n.)
seouennihte	seven-night (n.)
seouen-nihte	seven-night (n.)
seouennihten	seven-night (n.)
seouentene	seventen(e (num.)
seouen-tene	seventen(e (num.)
seoumen	shame (n.)
seowede	sheuen (v.1)
seowen	souen (v.1)
sereuunge	serving(e (ger.)
Sergius	Sergius (n.)
seruise	servis(e (n.)
seruuinge	serving(e (ger.)
serwe	sorwe (n.)
set	sitten (v.)
sete	setten (v.)
seten	sete (n.2)
seten	sitten (v.)
seşen	sitthen (conj.)
setle	setle (n.)
Setor	Setor (n.)
sette	setten (v.)
setteğ	setten (v.)
setten	setten (v.)
setten	sitten (v.)
Seuare	Severus (n.)
Seuarium	Severus (n.)
Seuarne	Severn (n.)
Seuarus	Severus (n.)
seuen	seven (num.)
Seuere	Severus (n.)
Seuerius	Severus (n.)
Seuerne	Severn (n.)
seuge	seien (v.1)
seuggen	seien (v.1)
seulfne	self (adj., n., & pron.)
sexe	Sax(e (n.)
Sexen	Saxonie (n.)
sexes	sax (n.)
sexes	Sax(e (n.)
Sexesce	Saxish (adj.)
Sexis	Saxish (adj.)
Sexisc	Saxish (adj.)
Sexisce	Saxish (adj.)
Sexise	Saxish (adj.)
Sexisne	Saxish (adj.)
Sex-leode	Sax-leden (n.)
Sexleoden	Sax-leden (n.)
Sex-lond	Saxe-lond (n.)
Sexlonde	Saxe-lond (n.)
Sex-londe	Saxe-lond (n.)
Sex-londen	Saxe-lond (n.)
Sexstorius	Sextorius (n.)
sexte	sixt(e (num.)
Sextorius	Sextorius (n.)
Sexuns	Saxon (n.)
si	ben (v.)
sibba	sib(be (n.1)
sibbe	sib(be (adj.)
sibbe	sib(be (n.1)
sibbe-men	sibbe-man
sibben	sib(be (n.1)
sibe-la?e	sibbe-laue (n.)
Sibeli	sibil(le (n.)
Sibillie	sibil(le (n.)
siche	siken (v.2)
Sichelin	Sichelin (n.)
sichinde	sechen (v.)
siğ	sen (v.1)
siğ	sith (n.)
sidan	side (n.)
side	side (n.)
siğe	sith (n.)
siden	side (n.)
siğen	sith (n.)
siğes	sith (n.)
si?e	si3e (n.)
si?e-craften	si?e-craft (n.)
si?eğ	sien (v.1)
si?en	si3e (n.)
sigge	seien (v.1)
siggen	seien (v.1)
sih?eğe	sight(e (n.)
sihst	sen (v.1)
siht	sight(e (n.)
Sikelin	Sichelin (n.)
Sikelines	Sichelin (n.)
siken	siken (v.2)
siker	siker (adj.)
siker	siker (adv.)
sikere	siker (adj.)
sikerliche	sikerli (adj.)
siker-lichen	sikerli (adj.)
siker-lichen	sikerli (adv.)
Silechæstre	Silchester (n.)
sillic	selli (adj.)
Sillich	selli (adj.)
Sillius	Sillius (n.)
Siluium	Silvius (n.)
Siluius	Silvius (n.)
sinağ	sinod (n.)
sinde	ben (v.)
singe	singen (v.)
singeğ	singen (v.)
singen	singen (v.)
singende	singen (v.)
singinge	singen (v.)
sinke	sinken (v.)
sinken	sinken (v.)
sire	sir(e (n.)
Sisillius	Sisilvius (n.)
Sisiluius	Sisilvius (n.)
Siten	sitten (v.)
sitte	sitten (v.)
sitteğ	sitten (v.)
sitten	sitten (v.)
six	six (num.)
sixe	six (num.)
Sixtene	sixten(e (num.)
Sixti	sixti (num.)
skent%ting	skenting(e (ger.)
skenting	skenting(e (ger.)
skirmden	skirmen (v.)
slade	slade (n.)
slades	slade (n.)
slæ	slen (v.)
slæğ	slen (v.)
slæde	slade (n.)
slæh	slen (v.)
slæht	slaught(e (n.)
slæhte	slaught(e (n.)
slæn	slen (v.)
slænne	slen (v.)
slæp	slepen (v.)
slæpe	slep (n.)
slæpen	slepen (v.)
slæpte	slepen (v.)
slæting	sleting (ger.1)
slahliche	sleighli (adj.)
slaht	slaught(e (n.)
slan	slen (v.)
slapte	slepen (v.)
slat	shulen (v.1)
slatinge	sleting (ger.1)
slauşe	slouth(e (n.)
slean	slen (v.)
sleast	slen (v.)
sle?ht	slaught(e (n.)
slehte	slaught(e (n.)
slen	slen (v.)
sleopeğ	slepen (v.)
slepa	slepen (v.)
slepe	slep (n.)
slepen	slepen (v.)
slepte	slepen (v.)
slo?e	slen (v.)
slo?en	slen (v.)
sloh	slen (v.)
slomnen	slumen (v.)
slowe	slen (v.)
slowen	slen (v.)
slume	slumen (v.)
slumen	slumen (v.)
slumme	slumen (v.)
smællen	smal (adj.)
smærte	smert (adj.)
smærten	smert (adj.)
smæt	smiten (v.)
smal	smal (adj.)
smale	smal (adj.)
smarten	smert (adj.)
smat	smiten (v.)
smeoğğede	smithen (v.)
smiğ	smith (n.)
smiğe?e	smithen (v.)
smiğie	smithen (v.)
smite	smiten (v.)
smiteğ	smiten (v.)
smiten	smiten (v.)
smitten	smiten (v.)
smokien	smoken (v.)
smot	smotten (v.)
snæde	tosheren (v.)
snælle	snel (adj.)
snau	snou (n.)
snau-white	snou-whit (adj.)
snawe	snou (n.)
snel	snel (adj.)
snelle	snel (adj.)
so	so (adv.)
socne	soken(e (n.)
soğ	soth (adj.)
soğ	soth (n.)
soğğe	soth (n.)
Soğğen	sitthen (adv.)
soğğere	soth (adj.)
soğe	soth (adj.)
soğe	soth (n.)
soğen	soth (adj.)
soğen	soth (n.)
soğere	soth (adj.)
soğ-fæste	sothfast (adj.)
soğ-fæste	sothfast (adv.)
soğfaste	sothfast (adj.)
soğ-fasten	sothfast (adj.)
soğ-fasten	sothfast (adv.)
soğ-fest	sothfast (adj.)
soğ-fest	sothfast (adv.)
soğfeste	sothfast (adj.)
soğien	sothen (v.)
soğ-riht	sothright (adv.)
soğte	sechen (v.)
soft	soft(e (adj.)
softe	soft(e (adj.)
softe	soft(e (adv.)
soften	soft(e (adj.)
softer	soft(e (adj.)
softere	soft(e (adj.)
soft-nesse	softnes(se (n.)
softre	soft(e (adj.)
soh	soth (n.)
soh	soth(e (adv.)
sohfaste	sothfast (adj.)
sohfeste	sothfast (adj.)
sohte	sechen (v.)
sohten	sechen (v.)
sohust	soth(e (adv.)
solde	shulen (v.1)
solden	shulen (v.1)
solh	sulou (n.)
soluer	silver (n.)
som%me	some (adj.)
som%meneden	somnen (v.)
some	som (adj.)
some	some (n.)
somed	samod (adv.)
somenede	somnen (v.)
somme	som (adj.)
sommnede	salteriun (n.)
somne	salteriun (n.)
somned	salteriun (n.)
somnede	salteriun (n.)
somneden	salteriun (n.)
Somnie	salteriun (n.)
somnien	salteriun (n.)
som-runan	somroune (n.)
som-rune	somroune (n.)
som-runen	somroune (n.)
sond	sand (n.)
sonde	sond(e (n.)
sonden	sond(e (n.)
sondes-mon	sondes-man (n.)
sond-monnen	sond-man (n.)
sone	sone (n.)
Sonedæi	Son-dai (n.)
sonen	sone (n.)
song	song (n.)
songe	song (n.)
songen	song (n.)
songes	song (n.)
sonne	sonne (n.)
sop	shapen (v.)
sor?e	sorwe (n.)
sor?eden	sorwen (v.)
sor?en	sorwe (n.)
sorehfulle	sorweful (adj.)
sorh?e	sorwe (n.)
sorh?en	sorwe (n.)
sorhen	sorwe (n.)
sorhful	sorweful (adj.)
sorh-ful	sorweful (adj.)
sorh-fule	sorweful (adj.)
sorhfulle	sorweful (adj.)
sorh-fulle	sorweful (adj.)
sorh-fulne	sorweful (adj.)
sorhliche	sorweli (adv.)
sorh-siğes	sorwe-sith (n.)
sorre?e	sorwe (n.)
sorre?en	sorwe (n.)
soruful	sorweful (adj.)
sorwe	sorwe (n.)
sorwen	sorwe (n.)
Sosie	Sosie (n.)
sot	sont (n.1)
soşe	soth (n.)
soşere	soth (adj.)
sothscipe	sothshipe (n.)
sotliche	sotli (adj.)
sotscipe	sothshipe (n.)
sotten	sotten (v.)
sottes	sont (n.1)
souğğen	sitthen (adv.)
soue	seven (num.)
spac	speken (v.)
Spaden	Spaden (n.)
spæc	speken (v.)
spæche	spech(e (n.)
spæc-huse	spech-hous (n.)
spæcken	speken (v.)
Spæine	Spain(e (n.)
spækeğ	speken (v.)
spæken	speken (v.)
spællen	spel (n.)
spærc	spark(e (n.)
spære	spere (n.1)
spæren	spere (n.1)
spæres	spere (n.1)
Spaine	Spain(e (n.)
Spainisce	Spainish (adj.)
spak	speken (v.)
Sparatin	Sparatin (n.)
sparc	spark(e (n.)
sparede	sparen (v.)
sparewe	sparwe (n.)
sparewen	sparwe (n.)
Sparewenchestre	Sparrowencester (n.)
sparieğ	sparen (v.)
sparien	sparen (v.)
sparwen	sparwe (n.)
spec	speken (v.)
spec%che	spech(e (n.)
spec%ken	speken (v.)
speche	spech(e (n.)
spechen	spech(e (n.)
spedde	speden (v.)
spede	speden (v.)
spedeğ	speden (v.)
speden	speden (v.)
spedet	speden (v.)
speke	speken (v.)
spekeğ	speken (v.)
speken	speken (v.)
spekene	speken (v.)
spel	spel (n.)
spel	spellen (v.1)
spelede	spellen (v.1)
speleden	spellen (v.1)
spelien	spellen (v.1)
spella	spel (n.)
spelle	spel (n.)
spelle	spellen (v.1)
spellen	spel (n.)
spelles	spel (n.)
spende	spenden (v.)
spenet	spennen (v.)
sper	spere (n.1)
spere	spere (n.1)
speren	spere (n.1)
speres	spere (n.1)
spere-scæft	spere-shaft (n.)
sperren	spere (n.1)
spic	spik (n.)
spiche	spech(e (n.)
spilden	spillen (v.)
spilede	spellen (v.1)
spileden	spillen (v.)
spilieğ	spellen (v.1)
spilien	spellen (v.1)
spillen	spillen (v.)
spiritu	spirit (n.)
spiten	spit(e (n.1)
spradde	spreden (v.)
spradden	spreden (v.)
spræde	spreden (v.)
sprengen	springen (v.)
sprong	springen (v.)
spureden	sporen (v.)
spuren	spore (n.2)
spurie	sporen (v.)
stağel	stathel (n.)
stağele	stathele (adj.)
stağeluæste	stathel-fast (adj.)
stæğeli	statheli (adj.)
stæf	staf (n.)
stæfne	steven(e (n.1)
stæfnenen	steven(e (n.1)
stæn-cunne	ston-kin (n.)
stæne	ston (n.)
stænene	stenen(e (adj.)
stænt	stonden (v.1)
stæpne	step(e (adj.)
stærc	stark (adj.)
stærcliche	starkli (adv.)
stærcne	stark (adj.)
stæue	staf (n.)
stæuen	steven(e (n.1)
stæuene	steven(e (n.1)
staf	staf (n.)
stafnen	steven(e (n.1)
stake	stake (n.)
stal	stal(le (n.)
stal-feht	stal-fight (n.)
stal-fehte	stal-fight (n.)
stal-fiht	stal-fight (n.)
stan	ston (n.)
stane	ston (n.)
stanen	ston (n.)
stanene	stonen(e (adj.)
stanes	ston (n.)
stan-graffen	ston-greve (n.)
Stanhenge	Stonehenge (n.)
Stan-henge	Stonehenge (n.)
Stanhengen	Stonehenge (n.)
stant	stonden (v.1)
starka	stark (adj.)
starke	stark (adj.)
starkere	stark (adj.)
Stater	Stater (n.)
Statere	Stater (n.)
Stateres	Stater (n.)
staşe	stath (n.)
stauen	staf (n.)
steap	step(e (adj.)
stede	stede (n.1)
steden	stede (n.1)
stefene	steven(e (n.1)
stefenen	steven(e (n.1)
stefne	steven(e (n.1)
stefnen	steven(e (n.1)
steftne	steven(e (n.1)
stefuene	steven(e (n.1)
stel	stel(e (n.3)
stel	stelen (adj.)
stelane	stelen (adj.)
stele	stel(e (n.3)
stelen	stel(e (n.3)
stelen	stelen (v.)
stelene	stelen (adj.)
steles	stel(e (n.3)
stenene	stenen(e (adj.)
steolen	stelen (v.)
steop-moder	step-moder (n.)
steor	ster(e (adj.)
steorc	stark (adj.)
steore	sterre (n.)
steores-man	steresman (n.)
steores-mon	steresman (n.)
steor-men	stere-man (n.)
steorre	sterre (n.)
steorren	sterre (n.)
steowien	steuen (v.2)
stepa	step(e (adj.)
stepe	steppen (v.)
stepen	steppen (v.)
stepmoder	step-moder (n.)
stepne	step(e (adj.)
steppen	steppen (v.)
step-sune	step-sone (n.)
sterc	stark (adj.)
sterce	stark (adj.)
stercliche	starkli (adv.)
sterc-liche	starkli (adj.)
sterc-liche	starkli (adv.)
sterclichere	starkli (adj.)
sterk	stark (adj.)
sterke	stark (adj.)
sterke	stark (adv.)
sterkliche	starkli (adv.)
ster-men	stere-man (n.)
sterre	sterre (n.)
sterren	sterre (n.)
steuene	steven(e (n.1)
stiğ	stith(e (adj.)
stiğ	stith(e (adv.)
stiğe	stith(e (adj.)
stiğe	stith(e (adv.)
stiğ-imoded	stithi-mod (adv.)
stiğ-imodede	stithi-mod (adv.)
stiğ-i-modede	stithi-mod (adv.)
stiğimoden	stithi-mod (adv.)
sti?en	sti(e (n.2)
stif	stif (adj.)
stikede	stiken (v.)
stikeden	stiken (v.)
stil	stille (adj.)
stille	stille (adj.)
stilleliche	stilli (adj.)
stilleliche	stilli (adv.)
stille-liche	stilli (adj.)
stille-liche	stilli (adv.)
stilleluker	stilli (adv.)
stilliche	stilli (adj.)
stiwærd	steuard (n.)
stiward	steuard (n.)
stiwarde	steuard (n.)
stocken	stok (n.1)
stockes	stok (n.1)
stod	stonden (v.1)
stode	stonden (v.1)
stoden	stonden (v.1)
stol	stol (n.)
ston	ston (n.)
stond	stonden (v.1)
stonde	stonden (v.1)
stonde	stound(e (n.)
stondeğ	stonden (v.1)
stonden	stonden (v.1)
stondet	stonden (v.1)
stone	ston (n.)
stong	stingen (v.)
stont	stonden (v.1)
stop	steppen (v.)
stopen	stoppen (v.)
stor	stor(e (adj.)
store	stor(e (adj.)
storlic	storli (adj.)
storme	storm (n.)
Stoure	Stoure (n.3)
stouwe	soue (n.1)
stowe	soue (n.1)
strac	striken (v.)
stræhte	strecchen (v.)
stræhten	strecchen (v.)
stræm	strem (n.)
stræme	strem (n.)
stræmes	strem (n.)
stræt	stret(e (n.2)
stræte	stret(e (n.2)
stræten	stret(e (n.2)
strætte	stret(e (n.2)
strahte	strecchen (v.)
strahten	strecchen (v.)
strake	stark (adj.)
strales	strel(e (n.)
stram	strem (n.)
strames	strem (n.)
stranden	strond(e (n.1)
strangede	strongen (v.)
straten	stret(e (n.2)
streahte	strecchen (v.)
strehte	strecchen (v.)
streit	streit (adj.)
strem	strem (n.)
streme	strem (n.)
stremen	strem (n.)
stremes	strem (n.)
strenğe	strength(e (n.)
strenğen	strength(e (n.)
stren?e	streng(e (n.)
streng	streng (n.)
strengğa	strength(e (n.)
strengğe	strength(e (n.)
strengğen	strength(e (n.)
strengen	streng (n.)
strenges	streng (n.)
strengest	strengest (adj.sup.)
strengeste	strengest (adj.sup.)
strengşe	strength(e (n.)
streonde	strenen (v.)
streone	stren (n.)
streonede	strenen (v.)
streoneden	strenen (v.)
streonen	stren (n.)
streonen	strenen (v.)
streonien	strand (n.)
streonien	strenen (v.)
stret	stret(e (n.2)
strete	stret(e (n.2)
streten	stret(e (n.2)
stretes	stret(e (n.2)
striden	striden (v.)
striken	striken (v.)
striuinge	striving(e (ger.)
strond	strand (n.)
stronde	strand (n.)
stronden	strond(e (n.1)
strong	strong (adj.)
stronge	strong (adj.)
stronge	strong(e (adv.)
stronge	strongen (v.)
strongede	strongen (v.)
strongen	strong (adj.)
strongeste	strong (adj.)
strongge	strong (adj.)
stronginen	strongen (v.)
strongliche	strongli (adj.)
strongliche	strongli (adv.)
strong-liche	strongli (adj.)
strong-liche	strongli (adv.)
strongna	strong (adj.)
strongne	strong (adj.)
Strugul	Striguil (n.)
strund	strand (n.)
stucchen	stiche (n.2)
stude	stede (n.2)
studen	stede (n.2)
stunde	stound(e (n.)
stunden	stound(e (n.)
stunt	stonden (v.1)
stunte	stinten (v.)
stupen	stoupen (v.)
sturede	stiren (v.)
stureden	stiren (v.)
sturie	stiren (v.)
Sturieğ	stiren (v.)
sturien	stiren (v.)
sturmden	sturmen (v.)
